*R0603:15k D06
*MUSB:USB_OTG E06 270
*R2512:0.003 D08
*R0603:220r_700mA C14
*IND3225:4.7uH_1.5A D09
*R0603:120 C08
*R0603:470 D03
*R0603:3.9k C15
*C0603:18p C11
*SOP8P:LM358 E03 90
*C0603:2.2u C02
*SOP8P:SN65176B E04 90
*QFP100:STM32F405V Q01 90
*C0805:red D14
*SOP8P:lnk304D E05 90
*R0603:22 C04
*R0603:1.5k C10
*C0603:100n C01
*SOP8P:SI8621 F01 90
*SMA:ES1J_R2 D02
*C0603:1n C16
*SOT23:USBLC6-4SC C05 180
*C0805:10u D10
*R0603:51k D05
*C1808:150n D01
*R0603:1k C12
*R0603:10k C03
*NPI31W:1m_250mA E01 180
*QFP48:STM32F303C E08
*C6032:8M C07 90
*SOT23:IRLML6344 C09 180
*SOT223:zldo1117 C06 180
*SMA:SMAJ24A_TV D16
*R0805:24V
*C0805:green D12
*C0805:yellow D15
*R1206:249k D04
*SOT23:ACT4088 D11 180
*SMA:SS34A D07
